Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUHQ,CORPORATE HEADQUARTERS,SUPPORT FACILITY,1669.00,1669.00,100.00,5760.00,829.00,0.85,0.00,1669.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170491.00,124917.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25456.00,1167.00,2616.00,0.00,2367.00,0.00,7.14,0.00,0.00,0.00,7.55,1296.00,No,78.00,78.00,3.00,78.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNZ,SALISBURY NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RNZ00,SALISBURY HEALTH CARE NHS TRUST,GENERAL ACUTE HOSPITAL,96876.00,96876.00,100.00,281359.00,50257.00,21.00,44241.00,45427.00,23.94,3.66,0.00,460.00,402.00,94.00,31.00,13.20,6.46,47.92,13.36,2.15,0.04,0.13,16.74,100.00,0.00,356500.00,4571703.00,1218800.00,546429.00,1.00,850.00,17822011.00,5881272.00,6860282.00,0.00,0.00,5998208.00,38560401.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1973030.00,139873.00,385097.00,50.00,319942.00,388.00,542.00,15.00,33.00,0.00,387.00,69888.00,Yes,1993.00,813.00,92.00,1180.00,1.07,0.07,No,7.93,8.00,474875.00,1256362.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,29173.00,27938.00,87.90,78226.00,16097.00,8.61,18380.00,9558.00,17.83,19.60,35.70,61.00,42.00,35.00,16.00,10.57,5.04,29.10,23.42,10.87,3.67,1.37,15.96,100.00,0.00,0.00,45556.00,1396688.00,266380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3006843.00,4380168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,515337.00,14589.00,46523.00,35.32,66514.00,0.00,155.56,0.00,0.00,0.00,32.02,4288.00,None,862.00,558.00,69.00,769.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP1A1,ST. MARY'S HOSPITAL,LONG STAY HOSPITAL,8660.00,8660.00,100.00,24249.00,6164.00,3.01,2521.00,6140.00,0.00,0.00,0.00,24.00,23.00,14.00,0.00,0.00,0.00,20.55,3.66,0.63,4.65,0.00,70.51,100.00,0.00,0.00,34145.00,611871.00,20188.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,607320.00,1356330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120097.00,4278.00,11573.00,5.36,10289.00,0.00,68.00,0.00,0.00,0.00,2.52,849.00,None,273.00,272.00,19.00,273.00,0.00,0.00,No,13.95,5.00,28470.00,132678.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP1A2,MANFIELD HEALTH CAMPUS,SPECIALIST HOSPITAL,4688.00,4688.00,100.00,13125.00,3924.00,2.86,3924.00,764.00,0.00,0.00,0.00,21.00,18.00,18.00,0.00,85.33,0.00,0.00,0.00,0.00,0.00,0.00,14.67,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406261.00,684678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66940.00,2501.00,7128.00,4.80,5458.00,0.00,13.15,0.00,0.00,0.00,4.73,731.00,None,87.00,85.00,5.00,19.00,0.00,0.00,No,9.19,8.00,27174.00,93044.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP1F2,ISEBROOK HOSPITAL,TREATMENT CENTRE,6191.00,6191.00,100.00,17336.00,3062.00,2.73,2723.00,3468.00,0.00,0.00,6.40,15.00,14.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,671243.00,710667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114601.00,2610.00,7454.00,17.99,13592.00,0.00,28.71,0.00,0.00,0.00,6.72,1039.00,None,103.00,103.00,12.00,96.00,0.00,0.00,No,8.75,5.00,16425.00,47910.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP1J6,DANETRE HOSPITAL,TREATMENT CENTRE,4693.00,4693.00,100.00,12852.00,1529.00,3.20,3418.00,1275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.60,0.00,0.00,0.00,0.00,0.00,0.00,38.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373508.00,240218.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177865.00,1341.00,3726.00,3.71,3600.00,0.00,7.14,0.00,0.00,0.00,2.15,332.00,None,114.00,114.00,7.00,114.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP1V4,BERRYWOOD HOSPITAL,MULTI-SERVICE HOSPITAL,13735.00,13735.00,100.00,35986.00,12843.00,3.10,11290.00,2445.00,0.00,0.00,0.00,123.00,115.00,105.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2233000.00,3861607.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,368404.00,4478.00,11130.00,9.26,17939.00,0.00,87.37,0.00,0.00,0.00,16.97,2620.00,None,179.00,179.00,12.00,179.00,0.00,0.00,No,9.91,15.00,128115.00,423006.00
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP1V5,THE WELLAND CENTRE,MULTI-SERVICE HOSPITAL,3357.00,3357.00,100.00,9399.00,1664.00,0.76,3357.00,273.00,0.00,0.00,0.00,40.00,38.00,47.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325095.00,532250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55621.00,4076.00,11375.00,3.14,6025.00,0.00,0.00,0.00,0.00,0.00,1.48,497.00,None,50.00,50.00,4.00,50.00,0.00,0.00,No,13.95,10.00,50370.00,234739.00
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,RP401,GREAT ORMOND STREET HOSPITAL - MAIN SITE,SPECIALIST HOSPITAL,102261.00,92125.00,81.00,232081.00,16936.00,2.27,36997.00,37188.00,22.72,39.25,2.35,318.00,298.00,213.00,69.00,30.74,28.10,11.07,0.00,0.00,1.35,5.51,23.23,100.00,416607.00,2698352.00,2196033.00,2508263.00,3277452.00,1.00,1409.00,25067634.00,13769190.00,9802204.00,0.00,0.00,17847032.00,41492485.00,126989.00,0.00,0.00,0.00,0.00,0.00,0.00,3360678.00,102217.00,199642.00,83.52,380740.00,386.04,6.03,7.78,0.00,577.36,270.11,38889.00,No,0.00,0.00,0.00,0.00,0.00,0.00,None,6.92,5.00,139350.00,664902.00
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,RP5BA,BASSETLAW DISTRICT GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,39889.00,39557.00,100.00,114426.00,23304.00,11.18,19081.00,16256.00,7.60,1.10,6.40,224.00,178.00,20.00,27.00,5.80,12.70,36.90,29.20,2.70,1.70,0.00,11.00,100.00,173749.00,5632743.00,8498556.00,1129726.00,6047199.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4958025.00,9099116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,863209.00,58965.00,76173.00,32.00,117235.00,63.00,136.30,9.00,10.00,37.70,222.00,64886.00,Yes,809.00,573.00,39.00,535.00,0.50,0.35,No,10.85,11.50,253747.00,1341504.00
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,RP5DR,DONCASTER ROYAL INFIRMARY,GENERAL ACUTE HOSPITAL,112583.00,112583.00,100.00,282558.00,42989.00,11.24,55175.00,47130.00,29.80,21.60,0.20,683.00,602.00,105.00,99.00,0.10,3.30,9.00,0.00,49.10,24.60,0.00,13.90,100.00,843225.00,15683912.00,4275064.00,405905.00,16659051.00,1.00,1150.00,14768387.00,6180529.00,4478614.00,0.00,0.00,6871788.00,40685945.00,126.00,0.00,0.00,0.00,0.00,2414412.00,0.00,2253932.00,227333.00,274636.00,90.00,382301.00,515.50,544.70,12.00,15.00,115.00,720.50,176135.00,Yes,1198.00,124.00,59.00,618.00,0.62,0.15,No,7.82,2.40,675343.00,2493418.00
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,RP5MM,MONTAGU HOSPITAL,GENERAL ACUTE HOSPITAL,14511.00,14075.00,100.00,36730.00,9540.00,3.59,8156.00,4817.00,19.20,6.20,4.60,58.00,51.00,23.00,6.00,12.90,27.70,23.70,0.90,16.80,3.20,0.00,14.80,100.00,103805.00,499700.00,529036.00,5245.00,616863.00,1.00,110.00,2001017.00,995487.00,618314.00,0.00,0.00,723498.00,5331709.00,0.00,0.00,0.00,0.00,0.00,254202.00,0.00,292189.00,14152.00,37363.00,6.00,51568.00,22.00,42.00,6.50,4.00,8.00,82.40,35299.00,Yes,334.00,216.00,36.00,167.00,0.30,0.10,No,10.82,0.00,76650.00,368628.00
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,RP5OR,OFF SITE RESIDENCES,SUPPORT FACILITY,3307.00,3307.00,100.00,8156.00,1909.00,0.55,0.00,3233.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,32.90,29.80,10.50,100.00,0.00,22166.00,194973.00,118525.00,32861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,908392.00,1184153.00,0.00,0.00,0.00,0.00,0.00,19083.00,0.00,60547.00,3142.00,9539.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,RP5RE,RETFORD HOSPITAL,GENERAL ACUTE HOSPITAL,1596.00,1596.00,100.00,4788.00,1596.00,0.60,1424.00,172.00,42.00,42.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,53.00,0.00,0.00,14.00,100.00,0.00,6620.00,11034.00,5517.00,7448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105094.00,217856.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13131.00,863.00,1372.00,3.32,13710.00,2.19,20.45,0.50,1.00,0.00,1.50,250.00,None,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,RP600,MOORFIELDS EYE HOSPITAL NHS TRUST,SPECIALIST HOSPITAL,38980.00,34056.00,97.00,89673.00,13800.00,1.80,18050.00,12500.00,11.00,0.00,2.00,45.00,45.00,12.00,33.00,10.00,21.00,9.00,0.00,6.00,9.00,0.00,45.00,100.00,6031300.00,4094200.00,10443400.00,1929400.00,0.00,2.00,350.00,3324858.00,1641263.00,1152261.00,18939.00,0.00,3948130.00,8807095.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,707321.00,17765.00,35732.00,74.97,75054.00,52.63,22.40,2.00,0.00,0.00,420.63,59863.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,10.89,0.01,23871.00,259995.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,7197.00,6869.00,7.00,19334.00,4688.00,1.80,4680.00,2189.00,35.45,43.87,4.14,0.00,0.00,0.00,0.00,32.30,12.40,9.47,10.01,18.94,0.00,0.00,16.88,100.00,0.00,0.00,15000.00,1000.00,533.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,382199.00,261007.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,309205.00,1489.00,4977.00,0.18,6610.00,0.11,9.69,0.43,0.00,11.83,12.76,4530.00,No,225.00,83.00,21.00,140.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP705,LONG LEYS COURT,NON-HOSPITAL (PATIENT),1423.00,1423.00,100.00,3234.00,1423.00,0.14,1010.00,413.00,0.00,0.00,0.00,16.00,13.00,0.00,16.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,11000.00,407.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84848.00,147376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24314.00,947.00,2424.00,0.06,6247.00,1.43,2.78,0.70,0.00,5.59,7.74,1977.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,10.85,16.00,31712.00,63355.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP723,"CARHOLME COURT, LINCOLN",TREATMENT CENTRE,2069.00,1078.00,100.00,4920.00,2069.00,2.51,802.00,276.00,12.00,15.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,11000.00,60000.00,0.00,13308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123367.00,214280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35351.00,1377.00,3525.00,0.06,6350.00,1.43,2.78,0.00,0.00,11.66,2.08,2080.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP729,"GERVAS HOUSE, LINCOLN",SUPPORT FACILITY,1680.00,1680.00,100.00,4597.00,720.00,0.87,0.00,1680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,6000.00,0.00,0.00,0.00,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100172.00,173993.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28705.00,1118.00,2862.00,0.00,2904.00,0.00,0.00,0.17,0.00,12.74,7.45,2904.00,No,140.00,70.00,0.00,70.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP768,DISCOVERY HOUSE,SUPPORT FACILITY,6989.00,6989.00,100.00,16774.00,4888.00,1.30,3600.00,3388.00,0.00,0.00,0.00,45.00,38.00,45.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,416727.00,723830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119415.00,4652.00,11906.00,0.14,4495.00,0.32,0.16,0.00,0.00,19.20,8.08,3879.00,No,16.00,12.00,2.00,2.00,0.00,0.00,No,10.17,7.00,49275.00,167106.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP770,LINCOLNSHIRE PARTNERSHIP TRAINING CENTRE,SUPPORT FACILITY,871.00,871.00,0.00,1872.00,772.00,0.18,0.00,871.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,3000.00,0.00,0.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97395.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11230.00,210.00,843.00,0.00,1114.00,0.00,0.00,0.00,0.00,5.81,2.04,114.00,No,57.00,0.00,1.00,57.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP772,THE ARCHWAY CENTRE,TREATMENT CENTRE,890.00,890.00,0.00,2144.00,147.00,0.64,801.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,750.00,2500.00,0.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109294.00,58220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167514.00,107.00,602.00,0.00,762.00,0.00,0.00,0.09,0.00,2.12,2.17,762.00,No,22.00,0.00,0.00,22.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7CG,WITHAM  COURT,LONG STAY HOSPITAL,2946.00,2946.00,100.00,5809.00,2946.00,1.01,2425.00,521.00,5.00,9.00,0.00,30.00,26.00,0.00,19.00,0.00,14.00,86.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,95000.00,15500.00,3565.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214643.00,666705.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55275.00,1819.00,4928.00,0.09,9423.00,0.54,5.72,0.00,0.00,12.94,8.32,3070.00,No,34.00,17.00,3.00,17.00,0.00,0.00,No,7.12,6.00,44895.00,106511.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7DC,MAPLE LODGE,NON-HOSPITAL (PATIENT),1128.00,1128.00,100.00,2347.00,993.00,0.25,726.00,402.00,0.00,0.00,0.00,15.00,11.00,5.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,3000.00,10000.00,0.00,3294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80147.00,175451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16487.00,427.00,1845.00,0.06,1968.00,0.28,0.00,0.11,0.00,8.31,3.15,1624.00,No,33.00,6.00,3.00,27.00,0.00,0.00,No,9.29,0.00,16425.00,50883.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7DG,MENTAL HEALTH UNIT - HOLLY LODGE,TREATMENT CENTRE,869.00,869.00,100.00,2025.00,869.00,0.42,814.00,55.00,40.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28767.00,145918.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12349.00,144.00,613.00,0.00,1066.00,0.00,0.28,0.00,0.00,1.71,3.52,790.00,No,22.00,12.00,2.00,10.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7EB,1 ST. ANNES ROAD,TREATMENT CENTRE,765.00,765.00,100.00,2226.00,396.00,0.15,539.00,226.00,27.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,70.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14437.00,131986.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14277.00,144.00,657.00,0.00,774.00,0.00,0.00,0.00,0.00,3.36,2.08,774.00,None,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,0.00,0.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7EV,PETER  HODGKINSON  CENTRE,MULTI-SERVICE HOSPITAL,5772.00,5772.00,100.00,12376.00,3804.00,1.19,3730.00,1288.00,11.38,0.00,15.00,42.00,35.00,0.00,5.00,0.00,1.00,99.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,280000.00,155550.00,100000.00,290646.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,191124.00,3687194.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153555.00,7758.00,16552.00,0.44,10886.00,2.27,2.94,1.92,0.00,29.63,7.92,5240.00,Yes,86.00,0.00,2.00,86.00,0.85,0.27,Yes,7.29,16.00,45990.00,111779.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7FK,FRANCIS  WILLIS  UNIT,SPECIALIST HOSPITAL,803.00,803.00,100.00,1906.00,803.00,0.57,753.00,50.00,0.00,0.00,0.00,15.00,11.00,1.00,14.00,22.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,5000.00,0.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26588.00,307984.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37078.00,1079.00,2303.00,0.00,1306.00,0.00,0.00,0.14,0.00,7.06,2.18,1306.00,Yes,14.00,6.00,1.00,7.00,0.85,0.27,Yes,9.76,43.00,16425.00,53426.00
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RP7FQ,ST. GEORGE'S  HOSPITAL SITE,MULTI-SERVICE HOSPITAL,791.00,217.00,100.00,1725.00,791.00,0.84,0.00,217.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,6.00,2.00,0.00,88.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47164.00,81922.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13515.00,527.00,1348.00,0.11,8628.00,2.86,5.57,0.61,0.00,0.00,0.61,88.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
